space,price
65.0,88000
54.0,155000
58.0,181000
113.0,390000
70.0,167000
132.0,788000
63.0,103000
98.0,376000
72.0,150000
143.0,645000
42.0,119000
75.0,225000
105.0,335000
100.0,405000
70.0,240000
120.0,298000
60.0,250000
95.0,270000
82.0,259000
90.0,270000
68.0,225000
85.0,370000
90.0,185000
47.0,119990
84.0,228000
65.0,107500
57.0,95000
120.0,650000
64.0,131000
64.0,225000
65.0,219000
63.0,171000
41.0,84000
104.0,325000
83.0,240000
81.0,258000
170.0,1590000
200.0,875000
92.0,330000
60.0,165000
74.0,198000
82.0,241500
86.0,225000
72.0,179000
65.0,143000
95.0,279900
68.0,175000
60.0,225000
65.0,105000
110.0,489000
62.0,130000
71.0,170000
131.0,245000
60.0,255000
81.0,258000
98.0,398000
65.0,219000
88.0,250000
53.0,210000
111.0,640000
52.0,122500
60.0,120000
65.0,98000
68.0,122000
85.0,249500
127.0,483000
70.0,229000
55.0,158000
105.0,320000
90.0,184000
68.0,190000
54.0,155000
90.0,325000
200.0,940000
69.0,249000
36.0,156000
75.0,180000
82.0,255000
109.0,382000
116.0,295000
98.0,799000
60.0,260000
79.0,220000
77.0,245000
85.0,270000
45.0,99000
125.0,960000
84.0,140500
71.0,310155
54.0,99000
88.0,395000
72.0,179000
79.0,220000
65.0,219000
100.0,415000
81.0,220000
73.0,252500
58.0,93600
89.0,300000
74.0,152000
